Awards,Category,Film Title,Winner,Presenter,Speech
1998 (71st) Academy Awards,Actor in a Leading Role,Life Is Beautiful,Roberto Benigni,Helen Hunt,"ROBERTO BENIGNI:
Thank you! This is a terrible mistake because I used up all my English. I don't know! I am not able to express all my gratitude, because now, my body is in tumult because it is a colossal moment of joy so everything is really in a way that I cannot express. I would like to be Jupiter! And kidnap everybody and lie down in the firmament making love to everybody, because I don't know how to express. It's a question of love. You are really -- this is a mountain of snow, so delicate, the suavity and the kindness, it is something I cannot forget, from the bottom of my heart. And thank you for the Academy Awards for the, who really loved the movie. Thank you to all in Italy, for the Italian cinema, grazie al Italia who made me. I am really, I owe to them all my, if I did something good. So grazie al Italia e grazie al America, land of the lot of things here. Thank you very much. And I hope, really I don't deserve this, but I hope to win some other Oscars! Thank you! Thank you very much! Thank you!"
1998 (71st) Academy Awards,Actor in a Supporting Role,Affliction,James Coburn,Kim Basinger,"JAMES COBURN:
My my my. Wow. You know, I've been around here -- I've been working and doing this work for like over half my life. And I finally got one right, I guess. See, some of them you do for money, some of them you do for love. This is a love child. Paul Schrader put together -- Paul and Nick actually put together ""Affliction."" I mean, it was a beautiful script. We had an extraordinary cast -- Nick, Sissy Spacek, Willem Dafoe, Mary Beth Hurt -- in a screenplay second to none. I'd like to thank all of those people. Plus Linda Reisman produced it for us. Largo paid for it. Lions Gate released it. I'd like to thank Hilly Elkins, my manager, and Bobby Littman, my agent, my publicists Delson and Weissman. I'd like to say thanks to all the people up in Santa Barbara where I'm working on a thing called ""Atticus."" Thank you, gang, for giving me Monday off. My kids, I say thanks to my kids... [music begins] Wait a minute! Wait a minute! I've got to say something else here! This, for my beautiful wife Paula. She finally got to come to the Academy Awards. This is for you, baby!"
1998 (71st) Academy Awards,Actress in a Leading Role,Shakespeare in Love,Gwyneth Paltrow,Jack Nicholson,"GWYNETH PALTROW:
I would like to thank the Academy from the bottom of my heart. I would like to thank Emily Watson, and Fernanda Montenegro, and my friend Cate Blanchett, and the greatest one who ever was, Meryl Streep. I don't feel very deserving of this in your presence.

But I would like to thank Harvey Weinstein and everybody at Miramax Films for their undying support of me. I would like to -- I wouldn't be in this auditorium, let alone up here, if it wasn't for two incredibly talented men. Our director John Madden, thank you so much for all that you gave me. You are so inspiring. And to my soulful partner, Joseph Fiennes, who I share this with. I wouldn't be here without him. I would like to thank the rest of our miraculous cast and crew. Our producers Donna Gigliotti and David Parfitt -- I didn't forget you this time! Especially Jim Magill and Sophie Shand and my friend Ben Affleck. I would like to thank my wonderful agent Rick Kurtzman who is a beautiful man and a wonderful agent and in his case that is not an oxymoron. I would like to thank Harold Brown, Stuart Gelwarg*, and Stephen Huvane.

I would not have been able to play this role had I not understood love of a tremendous magnitude, and for that I thank my family. My mother Blythe Danner, who I love more than anything, and my brother Jake Paltrow, who is just the dearest person in the whole world. My earthly guardian angel, Mary Wigmore*. And especially to my father Bruce Paltrow, who has surmounted insurmountable obstacles this year. I love you more than anything in the world. And to my grandpa Buster, who almost made it here tonight, but couldn't quite get here. Grandpa, I want you to know that you have created a beautiful family who loves you and loves each other more than anything, and we thank you for that.

I would like to dedicate this to two young men who lost their lives very early. Harrison Kravis and my cousin Keith Paltrow. We miss you very much. And I thank you. Thank you so much, everybody!
[*Name and spelling not confirmed.]"
1998 (71st) Academy Awards,Actress in a Supporting Role,Shakespeare in Love,Judi Dench,Robin Williams,"JUDI DENCH:
I feel for eight minutes on the screen I should only get a little bit of him. I do thank the Academy very much indeed. I do think also that the best bit about the Academy Awards is being nominated. You live in a kind of haze for several weeks, and the terrible thing is that somebody's got to win. My heart goes out to all the other four who didn't. And also, my admiration.

I do have to thank John Madden and Tom Stoppard and Marc Norman, as I actually wrote to John Madden after ""Mrs. Brown"" and said, I will do anything in your next film. If you want somebody to slouch in a doorway, you can count on me. And I mean it, and I hope he bears me in mind next time. I do thank you all very much indeed. I am very moved by it. Thank you."
1998 (71st) Academy Awards,Art Direction,Shakespeare in Love,Art Direction: Martin Childs; Set Decoration: Jill Quertier,Gwyneth Paltrow,"MARTIN CHILDS:
Oh boy, I made notes. This is an honor, isn't it? We had a lot of fun making this movie. And we'd love to thank the art department: Mark Raggett, Fran Bennett, Steve Lawrence and all the other heroes, all the other ""Shakespearoes."" Andy Evans and his brilliant team of craftsmen. Location manager Rachel Neale. Gill Ducker and Danny and Kevin and the props boys. Oh, Judi Dench, for her wonderful news that the Rose Theatre will survive. The set is being rebuilt beam by beam, and it's going to last forever this time. Oh, wrap up -- the asteroid's coming. Elaine, and Richard Greatrex, John Madden, and the Academy, for giving us this fantastic thing. Thank you very much.

JILL QUERTIER:
Thank you very much."
1998 (71st) Academy Awards,Cinematography,Saving Private Ryan,Janusz Kaminski,Uma Thurman,"JANUSZ KAMINSKI:
Thank you very much. Behind the hand-held camera there are people, and that's Mitch Dubin, Seamus and Chris Haarhoff. And I want to thank you very much. I want to thank the producers; of course the actors; Steven, the great collaborator; my sugar bear Holly."
1998 (71st) Academy Awards,Costume Design,Shakespeare in Love,Sandy Powell,Whoopi Goldberg,"SANDY POWELL:
I'd like to congratulate Whoopi for having the guts to wear that ""Velvet Goldmine"" costume. Two nominations, one speech. I want to thank everybody I worked with on both films. There are too many names, it would be too boring. But really, this mostly is my brilliant, fantastic team that worked with me on everything. Thank you, everybody. Thank you."
1998 (71st) Academy Awards,Directing,Saving Private Ryan,Steven Spielberg,Kevin Costner,"STEVEN SPIELBERG:
Thank you. Am I allowed to say I really wanted this? This is fantastic. Let me just turn my eyes to Mr. Hanks who from the very, very beginning said to me, this is going to be something extraordinary. We weren't really talking about the film, we were talking about the experience of making ""Saving Private Ryan,"" and he was right. It is one of the most extraordinary events of all of our lives, and the lives of all of our families, we were all in it together. Katie, for putting up with how much I've worried about this movie for the last eighteen months. Thank you for letting me be a neurotic at home. And all my children. I have two kids here tonight and they've never been to the Oscars before and I'm really happy I had a chance to make Max and Theo proud of their dad, and they're sitting up there somewhere. Thank you, kids, very, very much. And my other kids at home, Mikaela and Destry and Sasha and Sawyer, and Jessica who is here, too.

This has just been an amazing experience and what I'd like to do is just thank very, very sincerely the families who lost sons in World War II. I want to thank the Niland family and the Sullivan families, and I want to thank all the families who incurred these tremendous losses. In this war we tried to show a story of one such family, and it turned up there were many such families, unfortunately. And Dad, you're the greatest. Thank you for showing me that there is honor in looking back and respecting the past. I love you very much. This is for you. Thank you."
1998 (71st) Academy Awards,Documentary (Feature),The Last Days,"James Moll, Ken Lipper (accompanied on stage by producer June Beallor)","Matt Damon, Ben Affleck","JAMES MOLL:
Thank you. On behalf of the producer of the film, June Beallor, who I share this honor with, and the other producer of the film, Ken Lipper, and everybody involved with the making of ""The Last Days,"" we want to thank the five amazing Shoah survivors who shared their truly inspirational lives with us. We also want to thank Evelyn Lipper, Anne Marie Stein, and of course October Films and Good Machine for getting this film seen around the world. And last but not least, certainly but not least, our executive producer Steven Spielberg, for his strength of character and his vision in establishing the Shoah Foundation, videotaping more than 50,000 survivor testimonies all over the world and ensuring through those testimonies and through this film that survivors will have a voice for generations to come. Thank you."
1998 (71st) Academy Awards,Documentary (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi,"Matt Damon, Ben Affleck","KEIKO IBI:
Thank you. Who would have thought a girl from Japan can make a movie about Jewish senior citizens and actually receive this award. Thank you. I'm extremely grateful to Seth Glassman and my wonderful, wonderful seniors in my movie. And extra special, special thanks to Sheila Nevins of HBO, and my editor Milton Ginsberg, who's here up there somewhere, and my cinematographer, my co-filmmaker, my husband, Greg Pak. And I would also like to thank the Academy for recognizing the short documentary films. And I hope that you will continue to do so. And finally, my mother, for letting me come to the United States so I can follow my dream to become a filmmaker. Thank you."
